stat	ploidy	miss_pct	estimator	mean	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
thetaw	2	0.5	new	0.03386142655198073	0.02981024547176095	0.03798764705510012	0.002086787547291888	20000	0.03502430681834865	1.4755816255857373e-5	0.033832505152119254	0.03389034795184221
thetaw	2	0.5	new_multi	0.036290393704132964	0.031772892832512646	0.04094252176174322	0.0023434882076979555	20000	0.03626920740879804	1.6570964032939325e-5	0.036257914614628406	0.03632287279363752
thetaw	2	0.75	new	0.03408763275213599	0.029737270460553425	0.038463631475876926	0.0022261090237550513	20000	0.035174664657437474	1.574096786357762e-5	0.03405678045512338	0.034118485049148606
thetaw	2	0.75	new_multi	0.03629015322488038	0.031501837026551	0.04114379852602369	0.0024646568919090726	20000	0.03627439492914908	1.7427756015670647e-5	0.036255994823089666	0.03632431162667109
thetaw	4	0	new	0.03303969060152148	0.029760155606815	0.036347335738066096	0.0016819274277525443	120000	0.03452805787653796	4.8553062658517315e-6	0.033030174201240416	0.03304920700180255
thetaw	4	0	new_multi	0.036208838002458756	0.032396521849808	0.040107740403318	0.001968213325488594	120000	0.03620775873228632	5.681742466467241e-6	0.03619770178722448	0.03621997421769303
thetaw	4	0.1	new	0.03303913726011155	0.0297964804164583	0.036368495345209	0.0016886649804753247	20000	0.03452805787653796	1.194066458846351e-5	0.033015733557518155	0.03306254096270494
thetaw	4	0.1	new_multi	0.03620696285670699	0.03242984423330275	0.040074733295461316	0.00197504094629812	20000	0.03620775873228632	1.3965648462484965e-5	0.03617959018572052	0.036234335527693465
thetaw	4	0.25	new	0.03312686941137253	0.029819421046793873	0.036531294609574896	0.0017244769253240188	20000	0.03458611531378564	1.219389327896341e-5	0.033102969380545764	0.033150769442199295
thetaw	4	0.25	new_multi	0.03621801375848149	0.032377879282676	0.04020555482711203	0.0020088819663071807	20000	0.03621757375590624	1.4204940609791729e-5	0.0361901720748863	0.03624585544207669
thetaw	4	0.5	new	0.03322367590490017	0.02978901280088698	0.036735624860458935	0.0017819665927663797	20000	0.034650768626711084	1.260040661592994e-5	0.033198979107932944	0.033248372701867396
thetaw	4	0.5	new_multi	0.03623086192565317	0.03226585914974893	0.040280621523469576	0.0020621372532172552	20000	0.03622781624644725	1.4581512354873217e-5	0.036202282161437616	0.03625944168986872
thetaw	4	0.75	new	0.033450910386632816	0.029730534349733877	0.03725614528547242	0.001917833260359263	20000	0.03480740211114883	1.3561129035851404e-5	0.03342433057372255	0.03347749019954308
thetaw	4	0.75	new_multi	0.03625119995261951	0.032003838302217126	0.040616069918190154	0.0021791110559120333	20000	0.03624924526165758	1.5408642045939765e-5	0.036220999014209464	0.036281400891029554
thetaw	6	0	new	0.03267404772997608	0.029632221371115	0.035719119953375	0.001551157016895078	100000	0.034302997305362105	4.9051891819407306e-6	0.03266443355917947	0.03268366190077268
thetaw	6	0	new_multi	0.036152162369980666	0.032552727322054	0.039779518565488003	0.0018439022823009254	100000	0.036164883259176446	5.830930994853704e-6	0.03614073374523075	0.03616359099473058
thetaw	6	0.1	new	0.032674079771144816	0.029563652740761476	0.03571034522998582	0.0015587038532272372	20000	0.034302997305362105	1.1021700644785804e-5	0.032652477237881034	0.0326956823044086
thetaw	6	0.1	new_multi	0.03614721336683622	0.03250590651321185	0.03978554100523829	0.0018517045741303642	20000	0.036164883259176446	1.3093528611217285e-5	0.03612155005075823	0.036172876682914204
thetaw	6	0.25	new	0.03275681219593652	0.0296020765069174	0.03588107376739595	0.001594752530155982	20000	0.03436169896152368	1.1276603283876988e-5	0.03273471005350012	0.03277891433837292
