stat	ploidy	miss_pct	estimator	mean	n_windows	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
dxy	6	0.1	new	0.06578854288861667	20000	0.05973992614290335	0.07202112096934322	0.0031262592782172974	20000	0.07855381727658725	2.2105991353748125e-5	0.06574521514556332	0.06583187063167002
dxy	6	0.1	new_multi	0.07854986082669656	20000	0.07129606398303413	0.08590596820630271	0.003729727203900219	20000	0.07855381727658725	2.637315397853786e-5	0.07849816944489862	0.07860155220849449
dxy	6	0.25	new	0.06604494161504182	20000	0.05990333411514252	0.07234607209327303	0.0031652560708469606	20000	0.07855381727658725	2.238174031887773e-5	0.06600107340401681	0.06608880982606682
dxy	6	0.25	new_multi	0.07855451200156459	20000	0.07127453693757918	0.08597665885940166	0.003764436062963892	20000	0.07855381727658725	2.661858267464957e-5	0.07850233957952228	0.0786066844236069
dxy	6	0.5	new	0.06632278162135341	20000	0.06008859367454697	0.07279712505729911	0.0032445792556320846	20000	0.07855381727658725	2.2942639937546474e-5	0.06627781404707582	0.066367749195631
dxy	6	0.5	new_multi	0.07854595510136081	20000	0.07118892848684587	0.08612302470474528	0.003832917441158364	20000	0.07855381727658725	2.7102819143712688e-5	0.07849283357583914	0.07859907662688248
dxy	6	0.75	new	0.0668364556767508	20000	0.06036974513336115	0.07359817627799027	0.0033609542843244795	20000	0.07855381727658725	2.3765535657038193e-05	0.066789875226863	0.0668830361266386
dxy	6	0.75	new_multi	0.0785419403332953	20000	0.07099449475142318	0.08638510453499039	0.003927739591822082	20000	0.07855381727658725	2.7773313001122765e-5	0.0784875046398131	0.07859637602677749
dxy	8	0	new	0.06502731484301158	100000	0.05908000004121747	0.07117297082758653	0.0030794231158227294	100000	0.07855381727658725	9.73799092537232e-6	0.06500822838079785	0.06504640130522531
dxy	8	0	new_multi	0.078554427294375	100000	0.071360981640625	0.08593686210937498	0.0037102711400045394	100000	0.07855381727658725	1.173290753920382e-5	0.07853143079559817	0.07857742379315184
dxy	8	0.1	new	0.06512623204721975	20000	0.059133744390952626	0.07138160988718115	0.003104357706831353	20000	0.07855381727658725	2.19511238572917e-5	0.06508320784445945	0.06516925624998005
dxy	8	0.1	new_multi	0.0785333185144411	20000	0.07133851900157812	0.08594349777174204	0.0037252659476941776	20000	0.07855381727658725	2.6341608133378833e-5	0.07848168896249968	0.07858494806638253
dxy	8	0.25	new	0.06536998127250358	20000	0.05934315650065617	0.07168297775335376	0.003139096407793678	20000	0.07855381727658725	2.2196763567492413e-5	0.0653264756159113	0.06541348692909586
dxy	8	0.25	new_multi	0.07853071011622409	20000	0.0713007537728844	0.08596055864499835	0.003755349211540236	20000	0.07855381727658725	2.6554328932036553e-5	0.0784786636315173	0.07858275660093088
dxy	8	0.5	new	0.06565276475244035	20000	0.05941549389382485	0.07208168868510283	0.0032183749994249694	20000	0.07855381727658725	2.275734786494647e-5	0.06560816035062506	0.06569736915425564
dxy	8	0.5	new_multi	0.07853791633200874	20000	0.07115576103381653	0.08610770591599305	0.003824971418347877	20000	0.07855381727658725	2.7046632277585105e-5	0.07848490493274467	0.07859092773127281
dxy	8	0.75	new	0.06616006615169288	20000	0.05970936758692425	0.0727703875870668	0.003329575774722705	20000	0.07855381727658725	2.354365608780877e-5	0.06611392058576078	0.06620621171762499
dxy	8	0.75	new_multi	0.07854072913608025	20000	0.07094735656514442	0.08633084733730145	0.003916372723031904	20000	0.07855381727658725	2.7692937101098835e-5	0.07848645097936209	0.0785950072927984
fst_hudson	2	0	new	0.23694475682733188	10000	0.22028131037867527	0.25415232562857765	0.008660281953643144	10000	0.23695960499175686	8.660281953643144e-5	0.23677501530104048	0.23711449835362328
fst_hudson	2	0	new_multi	0.2356068289654682	10000	0.21924701116140174	0.2527577624212034	0.00849831567097744	10000	0.23695960499175686	8.49831567097744e-5	0.23544026197831705	0.23577339595261934
fst_hudson	2	0.1	new	0.23705128299510983	2000	0.22073885031590634	0.25444046396827735	0.008499941544693818	2000	0.23695960499175686	1.9006447098709943e-4	0.2366787566319751	0.23742380935824456
fst_hudson	2	0.1	new_multi	0.23570361028751344	2000	0.21971012752712965	0.25271672020709773	0.00835604276516672	2000	0.23695960499175686	1.8684679645808094e-4	0.2353373905664556	0.23606983000857126
fst_hudson	2	0.25	new	0.23707767785637018	2000	0.22048707118301053	0.25412771997349237	0.00853448288819522	2000	0.23695960499175686	1.908368389081325e-4	0.23670363765211025	0.23745171806063012
fst_hudson	2	0.25	new_multi	0.23570963476868165	2000	0.21983344578613057	0.25241602456262224	0.008385513964450187	2000	0.23695960499175686	1.8750579250784372e-4	0.23534212341536628	0.236077146121997
fst_hudson	2	0.5	new	0.23710877481287096	2000	0.2203333854902376	0.2545670899424115	0.008593677284248613	2000	0.23695960499175686	1.9216046584275682e-4	0.23673214029981915	0.23748540932592277
fst_hudson	2	0.5	new_multi	0.23569793234221198	2000	0.2191168559194209	0.2529199947776102	0.008449123062393432	2000	0.23695960499175686	1.889281351777291e-4	0.23532763319726363	0.23606823148716033
